time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.74,0.0,0,37.54389,-122.279274,-2.0,,27
1,0,1,2.42,1.68,0,37.543883,-122.279258,-2.1,,0
2,0,1,4.29,1.86,0,37.543873,-122.279243,-2.1,,1
3,0,1,6.22,1.93,0,37.54386,-122.279227,-2.1,,3
4,0,1,8.32,2.11,0,37.543845,-122.279212,-2.1,,3
5,0,1,10.52,2.2,0,37.543827,-122.279197,-2.1,,3
6,0,1,12.84,2.31,0,37.543808,-122.279183,-2.1,,3
7,0,1,15.22,2.39,0,37.543786,-122.279169,-2.1,,6
8,0,1,17.71,2.48,0,37.543764,-122.279155,-2.1,,6
9,0,1,20.28,2.57,1,37.543741,-122.279141,-2.0,,3
10,0,1,22.94,2.66,1,37.543717,-122.279128,-2.0,,3
11,0,1,25.65,2.71,1,37.543692,-122.279114,-2.0,,2
12,0,1,28.42,2.77,1,37.543668,-122.279101,-1.9,,3
13,0,1,31.22,2.81,1,37.543643,-122.279089,-1.9,,3
14,0,1,34.06,2.83,1,37.543619,-122.279076,-1.8,,3
15,0,1,36.88,2.82,1,37.543596,-122.279064,-1.8,,3
16,0,1,39.7,2.82,2,37.543574,-122.279051,-1.7,,3
17,0,1,42.52,2.82,2,37.543552,-122.279039,-1.7,,3
18,0,1,45.33,2.81,2,37.54353,-122.279027,-1.6,,3
19,0,1,48.16,2.83,2,37.543508,-122.279015,-1.6,,2
20,0,1,51.01,2.85,2,37.543485,-122.279003,-1.5,,3
21,0,1,53.87,2.86,2,37.543462,-122.27899,-1.4,,4
22,0,1,56.73,2.86,2,37.543438,-122.278978,-1.4,,2
23,0,1,59.59,2.86,3,37.543414,-122.278965,-1.3,,3
24,0,1,62.45,2.86,3,37.543389,-122.278953,-1.2,,3
25,0,1,65.31,2.86,3,37.543363,-122.27894,-1.1,,6
26,0,1,68.17,2.86,3,37.543338,-122.278928,-1.0,,6
27,0,1,71.03,2.86,3,37.543313,-122.278916,-1.0,,3
28,0,1,73.89,2.86,3,37.543288,-122.278904,-0.9,,3
29,0,1,76.75,2.86,3,37.543264,-122.278893,-0.9,,2
30,0,1,79.61,2.86,4,37.543239,-122.278883,-0.9,,3
31,0,1,82.47,2.86,4,37.543216,-122.278872,-0.8,,3
32,0,1,85.33,2.86,4,37.543192,-122.278863,-0.8,,4
33,0,1,88.19,2.86,4,37.543169,-122.278854,-0.8,,2
34,0,1,91.05,2.86,4,37.543145,-122.278846,-0.7,,3
35,0,1,93.91,2.86,4,37.543121,-122.278839,-0.7,,3
36,0,1,96.77,2.86,5,37.543097,-122.278832,-0.7,,3
37,0,1,99.63,2.86,5,37.543073,-122.278827,-0.6,,6
38,0,1,102.49,2.86,5,37.543049,-122.278822,-0.6,,6
39,0,1,105.35,2.86,5,37.543024,-122.278818,-0.6,,3
40,0,1,108.21,2.86,5,37.543,-122.278814,-0.5,,2
41,0,1,111.06,2.86,5,37.542975,-122.278811,-0.5,,3
42,0,1,113.92,2.86,5,37.54295,-122.278808,-0.5,,3
43,0,1,116.77,2.85,6,37.542924,-122.278805,-0.4,,3
44,0,1,119.63,2.85,6,37.542899,-122.278802,-0.4,,3
45,0,1,122.48,2.85,6,37.542873,-122.2788,-0.4,,3
46,0,1,125.33,2.85,6,37.542848,-122.278798,-0.4,,3
47,0,1,128.18,2.85,6,37.542822,-122.278796,-0.3,,2
48,0,1,131.03,2.85,6,37.542797,-122.278794,-0.3,,3
49,0,1,137.92,2.85,6,37.542771,-122.278792,-0.3,,6
50,0,1,140.84,2.86,7,37.542745,-122.278791,-0.2,,6
51,0,1,143.86,2.86,7,37.542719,-122.27879,-0.2,,3
52,0,1,146.71,2.86,7,37.542694,-122.278789,-0.2,,3
53,0,1,149.51,2.86,7,37.542668,-122.278788,-0.1,,3
54,0,1,152.24,2.86,7,37.542643,-122.278787,-0.1,,2
